LGA,baseline
Aba North,30.26
Aba South,10.3
Arochukwu,3.67
Bende,1.54
Ikwuano,1.58
Isiala Ngwa North,7.57
Isiala Ngwa South,2.97
Isuikwuato,0.78
Obi Ngwa,4.06
Ohafia,0.8
Osisioma Ngwa,7.41
Ugwunagbo,14.42
Ukwa East,18.72
Ukwa West,5.03
Umu Nneochi,0.73
Umuahia North,1.77
Umuahia South,2.84
Demsa,0.1
Fufore,42.45
Ganye,7.71
Girie,1.19
Gombi,0.19
Guyuk,1865.38
Hong,1.37
Jada,1.68
Lamurde,1.08
Madagali,15.29
Maiha,12.34
Mayo-Belwa,0.48
Michika,8.46
Mubi North,1.86
Mubi South,1.77
Numan,5860.38
Shelleng,0.83
Song,116.22
Teungo,2.72
Yola North,0.41
Yola South,44.81
Abak,3.52
Eastern Obolo,6.23
Eket,25.79
Esit Eket,1.81
Essien Udim,92.97
Etim Ekpo,172.78
Etinan,253.1
Ibeno,2.13
Ibesikpo Asutan,2.65
Ibiono Ibom,68.82
Ika,5.59
Ikono,2.05
Ikot Abasi,7.32
Ikot Ekpene,7.87
Ini,43.36
Itu,1.63
Mbo,13.69
Mkpat Enin,6.96
Nsit Atai,1.97
Nsit Ibom,2.58
Nsit Ubium,2.18
Obot Akara,4.89
Okobo,2.09
Onna,292.76
Oron,0.96
Oruk Anam,2.73
Udung Uko,2929.89
Ukanafun,4.11
Uruan,35.06
Urue Offong,2.15
Uyo,13.45
Aguata,1.18
Anambra East,0.31
Anambra West,11.08
Anaocha,0.99
Awka North,54.21
Awka South,0.91
Ayamelum,0.71
Dunukofia,0.45
Ekwusigo,0.52
Idemili North,0.63
Idemili South,5.98
Ihiala,1.08
Njikoka,0.69
Nnewi North,1.19
Nnewi South,2.08
Ogbaru,0.77
Onitsha North,7.49
Onitsha South,22334.72
Orumba North,8.31
Orumba South,1.58
Oyi,2.27
Alkaleri,2.37
Bauchi,14.6
Bogoro,0.91
Damban,0.03
Darazo,0.0
Dass,2.61
Gamawa,0.0
Ganjuwa,7.73
Giade,0.12
Itas/Gadau,482.06
Jama'are,1.03
Katagum,0.69
Kirfi,1.53
Misau,0.09
Ningi,1.76
Shira,0.02
Tafawa-Balewa,0.8
Toro,153.53
Warji,0.12
Zaki,0.04
Brass,0.97
Ekeremor,3.05
Kolokuma/Opokuma,4.7
Nembe,3.75
Ogbia,2.47
Sagbama,2.25
Southern Ijaw,0.72
Yenagoa,5.62
Ado,32.73
Agatu,0.33
Apa,5.05
Bukuru,22.44
Gboko,1.29
Guma,1.01
Gwer East,2.12
Gwer West,8.27
Katsina-Ala,63.27
Konshisha,1.98
Kwande,9.81
Logo,1.06
Makurdi,13866.56
Obi,44.19
Ogbadibo,6.78
Ohimini,0.87
Oju,2.66
Okpokwu,1.19
Otukpo,0.85
Tarka,1.16
Ukum,1.0
Ushongo,4.2
Vande Ikya,1.03
Abadam,0.0
Askira/Uba,3.02
Bama,7.07
Bayo,46.75
Biu,3.59
Chibok,2.49
Damboa,1.74
Dikwa,10.94
Gubio,0.04
Guzamala,0.0
Gwoza,0.4
Hawul,3.01
Jere,386.26
Kaga,11.39
Kala/Balge,0.01
Konduga,4.85
Kukawa,0.0
Kwaya Kusar,9.64
Lake Chad,0.08
Mafa,0.02
Magumeri,3.69
Maiduguri,385.37
Marte,0.62
Mobbar,0.73
Monguno,0.01
Ngala,0.09
Nganzai,0.08
Shani,429.53
Abi,192.64
Akamkpa,6.83
Akpabuyo,5.21
Bakassi,176.83
Bekwarra,0.8
Biase,2.18
Boki,20.93
Calabar,88.74
Calabar South,1.46
Etung,5.04
Ikom,1587.55
Obanliku,2.36
Obubra,4.93
Obudu,4.89
Odukpani,4.33
Ogoja,5.24
Yakurr,0.8
Yala,131.13
Aniocha North,0.43
Aniocha South,0.73
Bomadi,2.75
Burutu,0.7
Ethiope East,1.23
Ethiope West,6.18
Ika North-East,0.9
Ika South,1.04
Isoko North,6.5
Isoko South,15.79
Ndokwa East,3.0
Ndokwa West,0.78
Okpe,1.44
Oshimili North,0.11
Oshimili South,0.25
Patani,0.58
Sapele,2.0
Udu,3.01
Ughelli North,3.95
Ughelli South,0.66
Ukwuani,3.92
Uvwie,11.65
Warri North,296.85
Warri South,4.6
Warri South-West,1.06
Abakaliki,0.99
Afikpo North,0.85
Afikpo South,0.79
Ebonyi,3.11
Ezza North,3.94
Ezza South,0.83
Ikwo,52.7
Ishielu,50.88
Ivo,10.17
Izzi,2.26
Ohaozara,3.17
Ohaukwu,4.64
Onicha,0.87
Akoko-Edo,1.07
Egor,3.49
Esan Central,0.52
Esan North-East,1.12
Esan South-East,1.29
Esan West,2.08
Etsako Central,0.02
Etsako East,2.94
Etsako West,0.09
Igueben,2.33
Ikpoba-Okha,2.93
Oredo,1.48
Orhionmwon,2.16
Ovia North-East,278.9
Ovia South-West,2.38
Owan East,0.49
Owan West,0.82
Uhunmwonde,3.67
Ado-Ekiti,15.98
Efon,1.67
Ekiti East,0.4
Ekiti South-West,2.94
Ekiti West,3.31
Emure/Ise/Orun,1.86
Gboyin,0.58
Ido-Osi,0.34
Ijero,1.28
Ikere,0.8
Ikole,0.34
Ilejemeje,0.19
Irepodun/Ifelodun,1.3
Ise/Orun,0.67
Moba,0.69
Oye,0.05
Aninri,1.79
Awgu,0.6
Enugu East,4.96
Enugu North,7.15
Enugu South,1.05
Ezeagu,2.46
Igbo-Etiti,1.03
Igbo-eze North,0.81
Igbo-eze South,7.32
Isi-Uzo,11.22
Nkanu East,1.82
Nkanu West,2.28
Nsukka,1.13
Oji-River,0.82
Udenu,2.32
Udi,3.38
Uzo-Uwani,2.44
Abaji,198.53
Abuja,0.67
Bwari,0.48
Gwagwalada,0.34
Kuje,1.14
Kwali,0.21
Akko,3.28
Balanga,0.23
Billiri,3.76
Dukku,1.69
Funakaye,0.44
Gombe,17.41
Kaltungo,3.19
Kwami,1.99
Nafada,690.83
Shomgom,0.12
Yamaltu/Deba,9.57
Aboh-Mbaise,9.96
Ahiazu-Mbaise,5.78
Ehime-Mbano,2.66
Ezinihitte Mbaise,67.55
Ideato North,3.75
Ideato South,5.79
Ihitte/Uboma,2.04
Ikeduru,2.46
Isiala Mbano,1.56
Isu,1.77
Mbatoli,5.38
Ngor-Okpala,22.93
Njaba,1.77
Nkwerre,3.14
Nwangele,1.69
Obowo,8.25
Oguta,16.66
Ohaji/Egbema,0.87
Okigwe,0.85
Orlu,9.05
Orsu,13.06
Oru East,1.81
Oru West,5.56
Owerri Municipal,19.32
Owerri North,30.77
Owerri West,14.52
Unuimo,24.82
